"","REPORT_DATE","X","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_TEMPH","C_TEMPL","C_RH","C_RHL","C_RHH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_TEMPL","F_TEMPH","F_RH","F_RHL","F_RHH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY","UNIT_TYPE","ST_INC","ST_UNIT","FSCLASS","MAX_AREA_INC","FSCLASS_INC","AREA_Log","SUPPRESSION_BI","SUPP_DECREASE","SUPP_MIX","IMT_NUM","SUPPNUM","INC_ID","LOG_AREA","npl","DURATION","IMT_RANK","INCIDENT_I","lat","lon","usaf.x","stn_name.x","UYDOY","usaf.y","stn_name.y","YEAR","MONTH","DAY","YDAY","YEARMODA","ELEV_M","TEMP","DEWP","VISIB","WDSP","MXSPD","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"1043","22-Sep-11",4264,"2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID",265,1545,"CASTRO",2011,"4-Aug-11",216,"4-Aug-11",216,"U",4360,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",3,"M","8-Oct-11",NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Medium","Extreme",NA,1,"Federal","ID","ID","F",4853,"F",5.63478960316925,"NFS",0,0,5,2,248,0.693147180559945,2,88,"E","2011_ID-BOF-000464_CASTRO",44.208611,-115.3575,726824,"STANLEY RANGER STATION","726824 2011 265",726824,"STANLEY RANGER STATION",2011,9,22,265,"2011-09-22",1979.7,8.3,-3.9,NA,1.1,3.6,0,0,0,0,0,0,0.5,1.1,45.5
"1044","28-Sep-11",4306,"2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID",271,1509,"CASTRO",2011,"4-Aug-11",216,"4-Aug-11",216,"U",4671,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",3,"M","8-Oct-11",NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",97,"S",65,50,50,65,22,22,259,"SSW",134,47,42,142,21,22,10,"Low","Extreme",NA,1,"Federal","ID","ID","F",4853,"F",5.63478960316925,"NFS",0,0,5,2,248,0.693147180559945,2,88,"E","2011_ID-BOF-000464_CASTRO",44.208611,-115.3575,726824,"STANLEY RANGER STATION","726824 2011 271",726824,"STANLEY RANGER STATION",2011,9,28,271,"2011-09-28",1979.7,11.4,-1.8,NA,1.5,4.6,0,0,0,0,0,0,0.5,1.3,38.5
"1045","6-Oct-11",4467,"2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID",279,1535,"CASTRO",2011,"4-Aug-11",216,"4-Aug-11",216,"U",4671,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",3,"M","8-Oct-11",NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",62,"NE",20,19,18,162,92,92,NA,NA,NA,NA,NA,NA,NA,NA,10,"Low","Extreme",NA,1,"Federal","ID","ID","F",4853,"F",5.63478960316925,"NFS",0,0,5,2,248,0.693147180559945,2,88,"E","2011_ID-BOF-000464_CASTRO",44.208611,-115.3575,726824,"STANLEY RANGER STATION","726824 2011 279",726824,"STANLEY RANGER STATION",2011,10,6,279,"2011-10-06",1979.7,0.8,-0.4,NA,1.4,4.1,0,0,0,0,0,0,0.6,0.6,100
"1046","28-Oct-11",4585,"2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID",301,1223,"CASTRO",2011,"4-Aug-11",216,"4-Aug-11",216,"U",4853,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",3,"M","3-Nov-11",0,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Low","Extreme",NA,1,"Federal","ID","ID","F",4853,"F",5.63478960316925,"NFS",0,0,5,2,248,0.693147180559945,1,88,"E","2011_ID-BOF-000464_CASTRO",44.208611,-115.3575,726824,"STANLEY RANGER STATION","726824 2011 301",726824,"STANLEY RANGER STATION",2011,10,28,301,"2011-10-28",1979.7,-4.5,-13.2,NA,0.4,2.6,0,0,0,0,0,0,0.2,0.4,50
"1047","2-Nov-11",4594,"2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID",306,1629,"CASTRO",2011,"4-Aug-11",216,"4-Aug-11",216,"F",4853,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",100,"M","3-Nov-11",0,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Low","Extreme",NA,NA,"Federal","ID","ID","F",4853,"F",5.63478960316925,"NFS",0,0,5,2,248,0.693147180559945,1,88,"E","2011_ID-BOF-000464_CASTRO",44.208611,-115.3575,726824,"STANLEY RANGER STATION","726824 2011 306",726824,"STANLEY RANGER STATION",2011,11,2,306,"2011-11-02",1979.7,-7.2,-14.1,NA,1,5.7,0,0,0,0,0,0,0.2,0.4,50
"1048","25-Aug-11",3549,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",237,1554,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"I",30,"ACRES","WF","CC","Jim Cox","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,"Federal","ID","ID","C",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,2,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 237",727700,"DILLON AIRPORT",2011,8,25,237,"2011-08-25",1585,20.7,5.7,16.1,2.6,8.8,0,1,0,0,0,0,0.9,2.4,37.5
"1049","26-Aug-11",3585,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",238,1636,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",137,"ACRES","WF","CC","Jeff Liday","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","D",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,3,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 238",727700,"DILLON AIRPORT",2011,8,26,238,"2011-08-26",1585,20.1,7.9,16.1,2.9,9.3,0,0,0,0,0,0,1.1,2.4,45.8
"1050","1-Sep-11",3764,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",244,1754,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",100,"ACRES","WF","CC","Jeff Liday","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","D",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,3,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 244",727700,"DILLON AIRPORT",2011,9,1,244,"2011-09-01",1585,13.3,5.6,16.1,3.2,7.2,0,0,0,0,0,0,0.9,1.5,60
"1051","8-Sep-11",3836,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",251,1546,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",151,"ACRES","WF","CC","Cody Kidd","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","D",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,4,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 251",727700,"DILLON AIRPORT",2011,9,8,251,"2011-09-08",1585,17.7,2.1,16.1,3.6,7.7,0,0,0,0,0,0,0.7,2,35
"1052","16-Sep-11",4186,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",259,800,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",217,"ACRES","WF","CC","Cody Kidd","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","D",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,3,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 259",727700,"DILLON AIRPORT",2011,9,16,259,"2011-09-16",1585,14.7,6.7,15.6,3.6,7.2,0,1,0,0,0,0,1,1.7,58.8
"1053","23-Sep-11",4289,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",266,802,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",236,"ACRES","WF","CC","Cody Kidd","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","D",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,2,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 266",727700,"DILLON AIRPORT",2011,9,23,266,"2011-09-23",1585,17.6,-1.5,16.1,4.2,6.2,0,0,0,0,0,0,0.5,2,25
"1054","29-Sep-11",4354,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",272,1138,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",338,"ACRES","WF","CC","Cody Kidd","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,"Federal","ID","ID","E",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,2,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 272",727700,"DILLON AIRPORT",2011,9,29,272,"2011-09-29",1585,10.7,-3.3,16.1,2.4,7.2,0,0,0,0,0,0,0.5,1.3,38.5
"1055","13-Oct-11",4417,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",286,1640,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"U",369,"ACRES","WF","CC","Cody Kidd","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","E",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,2,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 286",727700,"DILLON AIRPORT",2011,10,13,286,"2011-10-13",1585,6.1,-4.9,16.1,3.4,5.1,0,0,0,0,0,0,0.4,0.9,44.4
"1056","19-Oct-11",4552,"2011_ID-CTF-011019_WILLOW CANYON",NA,NA,1,NA,2011,"ID-CTF-011019","ID",292,1335,"WILLOW CANYON",2011,"22-Aug-11",234,"22-Aug-11",234,"F",369,"ACRES","WF","CC","Cody Kidd","5","Type 4 IC","L","Lightning","Lemhi",44.398056,112.925556,NA,"ID","CTF","IDCTF","EB","Federal","USDA","FS","ID","CTF",42000,"M",NA,NA,"CHAINS",NA,NA,"17-Oct-11",NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Federal","ID","ID","E",369,"E",3.43398720448515,"NFS",0,0,5,2,255,3.43398720448515,1,55,"E","2011_ID-CTF-011019_WILLOW CANYON",44.398056,-112.925556,727700,"DILLON AIRPORT","727700 2011 292",727700,"DILLON AIRPORT",2011,10,19,292,"2011-10-19",1585,5.5,-2.3,16.1,2.8,5.7,0,0,0,0,0,0,0.5,0.9,55.6
"1057","14-Aug-11",3426,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",226,1240,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"I",0.2,"ACRES","WF","CC","Gauthier","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","A",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,2,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 226",725784,"ELK CITY",2011,8,14,226,"2011-08-14",451.1,20.9,11.4,NA,0.7,3.1,0,0,0,0,0,0,1.3,2.5,52
"1058","18-Aug-11",3448,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",230,900,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",1,"ACRES","WF","CC","Gauthier","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","B",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,2,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 230",725784,"ELK CITY",2011,8,18,230,"2011-08-18",451.1,19,8.2,NA,1.1,2.1,0,0,0,0,0,0,1.1,2.2,50
"1059","25-Aug-11",3558,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",237,1245,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",200,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","D",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,2,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 237",725784,"ELK CITY",2011,8,25,237,"2011-08-25",451.1,23.4,14.3,NA,0.8,2.1,0,0,0,0,0,0,1.6,2.9,55.2
"1060","1-Sep-11",3731,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",244,1350,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",293,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","D",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,3,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 244",725784,"ELK CITY",2011,9,1,244,"2011-09-01",451.1,17.5,7.4,NA,0.8,3.1,0,0,0,0,0,0,1,2,50
"1061","8-Sep-11",3920,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",251,1210,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",325,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","E",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,4,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 251",725784,"ELK CITY",2011,9,8,251,"2011-09-08",451.1,19.6,9.8,NA,0.4,2.1,0,0,0,0,0,0,1.2,2.3,52.2
"1062","15-Sep-11",4038,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",258,1025,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",870,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","E",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,3,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 258",725784,"ELK CITY",2011,9,15,258,"2011-09-15",451.1,15.4,10.4,NA,0.5,1.5,0,0,0,0,0,0,1.3,1.7,76.5
"1063","22-Sep-11",4236,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",265,948,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",870,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","E",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,2,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 265",725784,"ELK CITY",2011,9,22,265,"2011-09-22",451.1,14.4,9.6,NA,1.2,3.6,0,0,0,0,0,0,1.2,1.6,75
"1064","29-Sep-11",4356,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",272,1151,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"U",870,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","E",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,2,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 272",725784,"ELK CITY",2011,9,29,272,"2011-09-29",451.1,12.4,5.5,NA,0.5,2.1,0,0,0,0,0,0,0.9,1.4,64.3
"1065","6-Oct-11",4416,"2011_ID-CWF-000312_LIZ BUTTE",NA,NA,1,NA,2011,"ID-CWF-000312","ID",279,1141,"LIZ BUTTE",2011,"5-Aug-11",217,"5-Aug-11",217,"F",1045,"ACRES","WF","CC","Gaines","E","SOPL","L","Lightning","Idaho",46.456944,115.328611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",100,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Federal","ID","ID","F",1045,"F",0.182321556793955,"NFS",0,0,13,2,262,0.182321556793955,2,53,"D","2011_ID-CWF-000312_LIZ BUTTE",46.456944,-115.328611,725784,"ELK CITY","725784 2011 279",725784,"ELK CITY",2011,10,6,279,"2011-10-06",451.1,8.4,6.9,NA,0.1,1.5,0,0,0,0,0,0,1,1.1,90.9
"1066","4-Aug-11",3358,"2011_ID-CWF-000378_STORM COMPLEX","STORM COMPLEX",1,1,NA,2011,"ID-CWF-000259","ID",216,1015,"STORM",2011,"2-Aug-11",214,"2-Aug-11",214,"I",1,"ACRES","WF","CC","Greg Jacobson","E","SOPL","L","Lightning","Idaho",46.483611,114.504722,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P","30-Sep-11",0,"CHAINS","30-Sep-11",NA,NA,NA,NA,NA,"N","N","N","Y",NA,NA,134,79,79,NA,NA,NA,NA,NA,246,66,61,NA,NA,NA,10,"Medium","High",NA,NA,"Federal","ID","ID","B",4500,"F",0.693147180559945,"NFS",0,0,13,2,265,0.693147180559945,2,63,"D","2011_ID-CWF-000378_STORM COMPLEX",46.506111,-114.503056,727730,"MISSOULA INTERNATIONAL AIRPORT","727730 2011 216",727730,"MISSOULA INTERNATIONAL AIRPORT",2011,8,4,216,"2011-08-04",972.9,22.5,4.9,16.1,1.7,10.8,0,0,0,0,0,0,0.9,2.7,33.3
"1067","7-Aug-11",3375,"2011_ID-CWF-000378_STORM COMPLEX","STORM COMPLEX",1,1,NA,2011,"ID-CWF-000269","ID",219,1500,"MAUD CREEK",2011,"4-Aug-11",216,"2-Aug-11",214,"I",1,"ACRES","WF","CC","Jacobson","5","Type 4 IC","L","Lightning","Idaho",46.491111,114.484722,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P","30-Sep-11",NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,123,73,73,NA,NA,NA,NA,NA,246,66,61,NA,NA,NA,10,"Medium","High",NA,NA,"Federal","ID","ID","B",4500,"F",0.693147180559945,"NFS",0,0,5,2,265,0.693147180559945,2,63,"E","2011_ID-CWF-000378_STORM COMPLEX",46.506111,-114.503056,727730,"MISSOULA INTERNATIONAL AIRPORT","727730 2011 219",727730,"MISSOULA INTERNATIONAL AIRPORT",2011,8,7,219,"2011-08-07",972.9,20.8,5.2,16.1,2.3,9.3,0,0,0,0,0,0,0.9,2.5,36
"1068","7-Aug-11",3377,"2011_ID-CWF-000378_STORM COMPLEX","STORM COMPLEX",1,1,NA,2011,"ID-CWF-000273","ID",219,1600,"DOUBLE STORM",2011,"4-Aug-11",216,"2-Aug-11",214,"I",1,"ACRES","WF","CC","Greg Jacobson","5","Type 4 IC","L","Lightning","Idaho",46.506111,114.503056,2,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P","30-Sep-11",NA,"CHAINS","30-Sep-11",NA,NA,0,0,0,"N","N","N","Y",NA,NA,128,76,76,NA,NA,NA,NA,NA,246,66,61,NA,NA,NA,10,"Medium","High",NA,NA,"Federal","ID","ID","B",4500,"F",0.693147180559945,"NFS",0,0,5,2,265,0.693147180559945,2,63,"E","2011_ID-CWF-000378_STORM COMPLEX",46.506111,-114.503056,727730,"MISSOULA INTERNATIONAL AIRPORT","727730 2011 219",727730,"MISSOULA INTERNATIONAL AIRPORT",2011,8,7,219,"2011-08-07",972.9,20.8,5.2,16.1,2.3,9.3,0,0,0,0,0,0,0.9,2.5,36
